u_id,username,email,password,name,dob,gender,date_created,points,avatar
1,charlotte767,thompsoncharlotte767@mail.com,$2a$10$jjZ3gGKW53eQoFg1bZV4S.LHCw8cinduAJ5MGDQK2bgQe31DWOfAe,Charlotte Thompson,1999-01-05,Female,2025-02-09 02:24:46,471000,/images/avatar7.png
2,emily283,evansemily283@mail.com,$2a$10$KbnzdcidO5QNSzuGL/9Zve5TU89G9UaYY/7sPx7GI5Dkv1D9A1ZCe,Emily Evans,1995-12-14,Female,2025-04-03 14:35:59,481000,/images/avatar7.png
3,liam190,daviesliam190@mail.com,$2a$10$G25FtGufPoSWczFljFtLauYyemCbACyB9yr2cjO6t5R4OCdwyoi06,Liam Davies,1990-12-02,Other,2025-03-19 11:59:25,501000,/images/avatar4.png
4,isabella271,walkerisabella271@mail.com,$2a$10$EivF94eLowhR2ux.LL5tFeNtokMPGONNdjCT7/jxgX3A3qjoOjuS.,Isabella Walker,1995-11-04,Female,2025-04-08 01:45:02,496000,/images/avatar1.png
5,piper499,evanspiper499@example.com,$2a$10$F0Iuxq/A7q8l5X1pb766TuCri7QkQlJXJxegcsC1NfQhQtfepxdeK,Piper Evans,2000-02-04,Female,2025-04-29 21:27:28,501000,/images/avatar7.png
6,david251,robertsdavid251@mail.com,$2a$10$.SWih9Di2JG5O4agWFJVlO.x4B9aY0Ccj1bekh2HMxgevh6x0Nrbu,David Roberts,1995-04-19,Male,2025-02-22 02:31:18,517000,/images/avatar2.png
7,penelope367,robinsonpenelope367@mail.com,$2a$10$iNh5dzZgv8s.c6Kd9WBj9eimakH66svjmUz5j1k41WXHBt4HjsIPy,Penelope Robinson,1987-10-29,Other,2025-03-17 10:46:42,492000,/images/avatar5.png
8,rowan477,williamsrowan477@example.com,$2a$10$TFFV48iB1O3Ly/wDrEjA8uMDpus8mZJzXGjGxL81jwdOTpBeR6jJG,Rowan Williams,1997-01-22,Other,2025-01-24 06:23:42,447000,/images/avatar6.png
9,brooklyn926,johnsonbrooklyn926@mail.com,$2a$10$sYHiEkFgMhkjbGmAInWl8OfOrA2hngp/JNHANpK7ETnxJidz0wAom,Brooklyn Johnson,1989-10-28,Female,2025-01-18 02:34:08,486000,/images/avatar4.png
10,emily281,thomasemily281@mail.com,$2a$10$4i853OTFq9/t2LWvwLZvsuUujyczy7Qt3Gsd5vNPGE0drslbk0afi,Emily Thomas,1994-09-23,Female,2025-01-20 01:10:15,474000,/images/avatar5.png
